atco_code,station_name,naptan_common_name,longitude,latitude,msoa_code,msoa_name,ctyua_code,ctyua_name,male_hle_estimate,male_hle_low95,male_hle_high95,male_model_se,male_life_expectancy,male_life_expectancy_imputed,male_good_health_rate,male_disabled_rate,male_hle,female_hle_estimate,female_hle_low95,female_hle_high95,female_model_se,female_life_expectancy,female_life_expectancy_imputed,female_good_health_rate,female_disabled_rate,female_hle
9400ZZTWEBN,East Boldon,East Boldon (Tyne and Wear Metro Station),-1.421,54.947,E02001790,South Tyneside 023,E08000023,South Tyneside,64.943,60.491,69.395,2.271,82.477,False,0.818,0.19,55.9,65.636,60.814,70.458,2.46,86.396,False,0.818,0.19,55.8
9400ZZTWFDN,Fawdon,Fawdon (Tyne and Wear Metro Station),-1.645,55.014,E02001710,Newcastle upon Tyne 003,E08000021,Newcastle upon Tyne,54.55,50.301,58.798,2.168,74.394,False,0.744,0.244,60.3,54.698,49.963,59.434,2.416,79.169,False,0.744,0.244,60.7
9400ZZTWFGT,Fellgate,Fellgate (Tyne and Wear Metro Station),-1.486,54.957,E02001787,South Tyneside 020,E08000023,South Tyneside,56.453,51.956,60.95,2.294,78.543,False,0.768,0.23,55.9,55.506,50.679,60.332,2.463,83.185,False,0.768,0.23,55.8
9400ZZTWFLG,Felling,Felling (Tyne and Wear Metro Station),-1.571,54.953,E02001693,Gateshead 012,E08000037,Gateshead,49.69,45.239,54.141,2.271,72.987,False,0.691,0.289,58.0,48.845,43.622,54.068,2.665,80.276,False,0.691,0.289,58.4
9400ZZTWFLE,Four Lane Ends,Four Lane Ends (Tyne and Wear Metro Station),-1.579,55.01,E02001755,North Tyneside 018,E08000022,North Tyneside,61.225,56.425,66.026,2.449,81.345,False,0.831,0.178,57.6,61.729,56.593,66.865,2.621,83.89,False,0.831,0.178,57.4
9400ZZTWGHD,Gateshead,Gateshead (Tyne and Wear Metro Station),-1.604,54.961,E02006841,Gateshead 027,E08000037,Gateshead,54.201,49.826,58.576,2.232,70.538,False,0.807,0.197,58.0,57.332,52.12,62.544,2.659,74.421,False,0.807,0.197,58.4
9400ZZTWGHS,Gateshead Stadium,Gateshead Stadium (Tyne and Wear Metro Station),-1.588,54.958,E02006841,Gateshead 027,E08000037,Gateshead,54.201,49.826,58.576,2.232,70.538,False,0.807,0.197,58.0,57.332,52.12,62.544,2.659,74.421,False,0.807,0.197,58.4
9400ZZTWHRN,Hadrian Road,Hadrian Road (Tyne and Wear Metro Station),-1.516,54.992,E02001765,North Tyneside 028,E08000022,North Tyneside,50.557,45.745,55.369,2.455,73.869,False,0.759,0.239,57.6,51.088,45.958,56.218,2.618,77.437,False,0.759,0.239,57.4
9400ZZTWHMT,Haymarket,Haymarket (Tyne and Wear Metro Station),-1.614,54.978,E02007099,Newcastle upon Tyne 036,E08000021,Newcastle upon Tyne,64.678,59.981,69.376,2.397,73.754,False,0.887,0.133,60.3,66.91,62.098,71.723,2.455,79.182,False,0.887,0.133,60.7
9400ZZTWHBN,Hebburn,Hebburn (Tyne and Wear Metro Station),-1.52,54.976,E02001777,South Tyneside 010,E08000023,South Tyneside,57.82,53.377,62.263,2.267,76.509,False,0.799,0.197,55.9,58.007,53.2,62.814,2.453,80.213,False,0.799,0.197,55.8
9400ZZTWHPW,Heworth,Heworth (Tyne and Wear Metro Station),-1.555,54.952,E02001684,Gateshead 003,E08000037,Gateshead,55.243,50.861,59.626,2.236,76.713,False,0.746,0.229,58.0,53.864,48.649,59.079,2.661,80.591,False,0.746,0.229,58.4
9400ZZTWHDN,Howdon,Howdon (Tyne and Wear Metro Station),-1.494,54.996,E02001765,North Tyneside 028,E08000022,North Tyneside,50.557,45.745,55.369,2.455,73.869,False,0.759,0.239,57.6,51.088,45.958,56.218,2.618,77.437,False,0.759,0.239,57.4
9400ZZTWIFD,Ilford Road,Ilford Road (Tyne and Wear Metro Station),-1.611,55.0,E02001712,Newcastle upon Tyne 005,E08000021,Newcastle upon Tyne,69.122,64.88,73.365,2.165,83.394,False,0.852,0.156,60.3,70.02,65.285,74.755,2.416,85.592,False,0.852,0.156,60.7
9400ZZTWJRW,Jarrow,Jarrow (Tyne and Wear Metro Station),-1.494,54.979,E02001774,South Tyneside 007,E08000023,South Tyneside,49.332,44.893,53.771,2.265,73.244,False,0.721,0.264,55.9,48.655,43.848,53.462,2.453,77.534,False,0.721,0.264,55.8
9400ZZTWJMD,Jesmond,Jesmond (Tyne and Wear Metro Station),-1.605,54.983,E02001724,Newcastle upon Tyne 017,E08000021,Newcastle upon Tyne,69.143,64.847,73.439,2.192,78.369,False,0.889,0.139,60.3,70.892,66.146,75.637,2.421,82.804,False,0.889,0.139,60.7
9400ZZTWKSP,Kingston Park,Kingston Park (Tyne and Wear Metro Station),-1.665,55.014,E02001715,Newcastle upon Tyne 008,E08000021,Newcastle upon Tyne,56.983,52.752,61.215,2.159,77.011,False,0.784,0.213,60.3,56.72,51.987,61.452,2.415,79.105,False,0.784,0.213,60.7
9400ZZTWLBT,Longbenton,Longbenton (Tyne and Wear Metro Station),-1.592,55.009,E02001756,North Tyneside 019,E08000022,North Tyneside,52.448,47.641,57.254,2.452,75.25,False,0.756,0.223,57.6,51.231,46.1,56.362,2.618,80.634,False,0.756,0.223,57.4
9400ZZTWMNS,Manors,Manors (Tyne and Wear Metro Station),-1.605,54.974,E02007100,Newcastle upon Tyne 037,E08000021,Newcastle upon Tyne,64.542,59.372,69.711,2.637,77.152,True,0.866,0.17,60.3,64.87,59.921,69.818,2.525,84.04,False,0.866,0.17,60.7
9400ZZTWMDW,Meadow Well,Meadow Well (Tyne and Wear Metro Station),-1.465,55.002,E02001764,North Tyneside 027,E08000022,North Tyneside,47.126,42.305,51.947,2.46,72.444,False,0.725,0.27,57.6,47.408,42.272,52.545,2.621,78.303,False,0.725,0.27,57.4
9400ZZTWMFD,Millfield,Millfield (Tyne and Wear Metro Station),-1.401,54.907,E02001801,Sunderland 011,E08000024,Sunderland,55.141,50.86,59.423,2.184,72.428,False,0.791,0.199,56.4,55.888,51.105,60.671,2.44,77.524,False,0.791,0.199,56.3
9400ZZTWMST,Monkseaton,Monkseaton (Tyne and Wear Metro Station),-1.457,55.042,E02001746,North Tyneside 009,E08000022,North Tyneside,60.687,55.869,65.504,2.458,81.244,False,0.811,0.193,57.6,60.11,54.973,65.247,2.621,83.769,False,0.811,0.193,57.4
9400ZZTWMMT,Monument,Monument (Tyne and Wear Metro Station),-1.614,54.974,E02007099,Newcastle upon Tyne 036,E08000021,Newcastle upon Tyne,64.678,59.981,69.376,2.397,73.754,False,0.887,0.133,60.3,66.91,62.098,71.723,2.455,79.182,False,0.887,0.133,60.7
9400ZZTWAPT,Newcastle Airport,Newcastle Airport (Tyne and Wear Metro Station),-1.711,55.036,E02001711,Newcastle upon Tyne 004,E08000021,Newcastle upon Tyne,56.302,52.047,60.558,2.171,75.505,False,0.766,0.234,60.3,57.145,52.412,61.878,2.415,79.32,False,0.766,0.234,60.7
9400ZZTWNSH,North Shields,North Shields (Tyne and Wear Metro Station),-1.449,55.008,E02001759,North Tyneside 022,E08000022,North Tyneside,54.943,50.135,59.75,2.453,74.771,False,0.768,0.222,57.6,54.749,49.603,59.895,2.626,80.666,False,0.768,0.222,57.4
9400ZZTWNDP,Northumberland Park,Northumberland Park (Tyne & Wear Metro Station),-1.52,55.033,E02001748,North Tyneside 011,E08000022,North Tyneside,57.726,52.919,62.532,2.452,78.729,False,0.816,0.179,57.6,57.624,52.489,62.759,2.62,82.66,False,0.816,0.179,57.4
9400ZZTWPLN,Pallion,Pallion (Tyne and Wear Metro Station),-1.417,54.913,E02001802,Sunderland 012,E08000024,Sunderland,51.71,47.443,55.978,2.177,74.883,False,0.742,0.253,56.4,51.463,46.681,56.245,2.44,79.84,False,0.742,0.253,56.3
9400ZZTWPVL,Palmersville,Palmersville (Tyne and Wear Metro Station),-1.541,55.024,E02001755,North Tyneside 018,E08000022,North Tyneside,61.225,56.425,66.026,2.449,81.345,False,0.831,0.178,57.6,61.729,56.593,66.865,2.621,83.89,False,0.831,0.178,57.4
